molecule_chembl_id,canonical_smiles,pIC50,MW,LogP,TPSA
CHEMBL4851183,COc1ccc2ccc(F)c(C[C@H](O)[C@H]3OC[C@H](NCc4cc5c(cn4)OCCO5)CO3)c2n1,4.886056647693163,471.4850000000003,1.9833999999999998,104.19000000000001
CHEMBL4872821,COc1ccc2ncc(F)c(C[C@H](O)[C@H]3OC[C@H](NCc4ccc(C)cc4)CO3)c2c1,4.853871964321762,426.48800000000017,3.1256200000000014,72.84
CHEMBL1235773,COc1ccc2ncc(C#N)c(CCN3CCC(NCc4cc5c(cn4)OCS5)CC3)c2c1,4.853871964321762,461.5910000000003,3.7487800000000027,83.3
CHEMBL4847090,Cc1[nH]c(C(=O)Nc2nc3c(F)cc(C(=O)O)cc3s2)c(Cl)c1Cl,4.769551078621726,388.2070000000001,4.329220000000001,95.08
CHEMBL4864841,COc1ccc2ncc(=O)n(CC(O)[C@H]3OC[C@H](NCc4ccc5c(c4)OCCO5)CO3)c2c1,4.721246399047171,469.4940000000003,1.0684999999999993,113.30000000000001
CHEMBL4847190,Cc1[nH]c(C(=O)Nc2nc3c(O)cc(C(=O)O)cc3s2)c(Cl)c1Cl,4.657577319177793,386.2160000000001,3.8957200000000007,115.31000000000002
CHEMBL4854247,COc1ccc2ncc(F)c(C(O)C[C@H]3OC[C@H](NCc4ccc5c(c4)OCCO5)CO3)c2n1,4.657577319177793,471.4850000000003,2.5035000000000007,104.19000000000001
CHEMBL4167345,Cc1ccc(-n2nnnc2NCc2ccco2)cc1Cl,4.642065152999546,289.72600000000006,2.829220000000001,68.77000000000001
CHEMBL4851285,Cc1[nH]c(C(=O)Nc2nc3ccc(C(=O)O)cc3s2)c(Cl)c1Br,4.619788758288394,414.66800000000006,4.299220000000001,95.08
CHEMBL4877458,Cc1[nH]c(C(=O)Nc2nc3ccc(-c4nnn[nH]4)cc3s2)c(Cl)c1Cl,4.6020599913279625,394.2470000000002,3.6720200000000007,112.24000000000001
CHEMBL2424884,COc1ccc2nccc(CC[C@@H]3CC[C@@H](NCc4cc5c(cn4)OCCO5)CO3)c2n1,4.522878745280337,436.5120000000002,3.074600000000001,87.62
CHEMBL4073597,CCNC(=O)Nc1cc2c(-c3ccnc(C)c3)ccc(CNC(=O)OCCO)c2cn1,4.522878745280337,423.47300000000024,2.9651200000000015,125.47000000000001
CHEMBL4075854,CCNC(=O)Nc1cc2c(-c3ccc(C#N)cc3)ccc(C)c2cn1,4.522878745280337,330.3910000000001,4.223300000000003,77.81
CHEMBL4077466,CCNC(=O)Nc1cc2c(-c3ccncc3)ccc(CNC(=O)OCCNC)c2cn1,4.522878745280337,422.4890000000002,2.883800000000001,117.27000000000001
CHEMBL4099715,CCNC(=O)Nc1cc2c(-c3ccncc3)ccc(C)c2cn1,4.522878745280337,306.369,3.746620000000002,66.91
CHEMBL4093773,CCNC(=O)Nc1cc2c(-c3ccncc3)ccc(Oc3cccnc3)c2cn1,4.522878745280337,385.4270000000001,4.625500000000003,89.03
